Время;Скорость;Тяга;Масса;Высота;Апогей;Перегей;Орбитальная Скорость;StageDeltaV;VesselDeltaV;Pressure
2;19;4559,81;207,12;120,04;119;0;176;2302;3532;99,83
4;44;4566,23;203,8;183,55;263;0;181;2249;3494;98,9
6;69;4579,46;200,48;297,03;523;0;188;2221;3495;97,25
8;95;4596,35;197,16;461,45;905;0;199;2186;3498;94,89
10;121;4617,9;193,85;677,88;1413;0;214;2150;3512;91,86
12;147;4643,4;190,53;946,65;2046;0;232;2114;3537;88,2
14;174;4672,18;187,22;1268,02;2808;0;254;2079;3570;83,98
16;201;4707,23;183,91;1642,34;3701;0;278;2039;3617;79,27
18;228;4740,39;180,59;2069,95;4727;0;303;1985;3647;74,15
20;256;4775,11;177,28;2550,95;5886;0;330;1966;3716;68,72
22;284;4810,46;173,96;3085,33;7179;0;358;1923;3767;63,07
24;312;4845,9;170,65;3672,82;8589;0;387;1871;3810;57,3
26;337;4884,64;167,3;4315,78;10017;0;413;1831;3876;51,48
28;360;4917,81;164,02;4987,37;11418;0;437;1774;3912;45,92
30;382;4828,8;160,75;5703,93;12881;0;462;1746;3972;40,54
32;403;4734,99;157,56;6457,1;14400;0;486;1697;4008;35,45
34;426;4643,54;154,46;7246,16;15997;0;510;1648;4038;30,68
36;449;4544,45;151,43;8071,29;17689;0;536;1587;4059;26,27
38;473;4458,49;148,48;8933,19;19492;0;562;1541;4079;22,23
40;498;4373,68;145,6;9833,09;21426;0;590;1474;4072;18,63
42;525;4290,79;142,78;10772,62;23512;0;620;1435;4086;15,49
44;554;4209,76;140,03;11753,74;25772;0;651;1381;4077;13
46;585;4121,7;137,34;12778,57;28219;0;684;1320;4059;11
48;617;4045,09;134,71;13848,85;30851;0;718;1265;4036;7
50;651;3969,29;132,13;14965,76;33670;0;753;1208;4008;5
52;685;3895,05;129,61;16130,37;36694;0;790;1152;3974;3
54;721;3822,3;127,14;17343,82;39939;0;828;1094;3936;2
56;758;3743,08;124,72;18607,23;43423;0;867;1030;3889;1
58;797;3674,04;122,35;19921,66;47163;0;907;965;3836;0,99
60;836;3605,64;120,03;21288,06;51173;0;948;915;3796;0,9
62;876;3538,55;117,75;22707,23;55472;0;990;856;3746;0,89
64;918;3472,74;115,51;24179,89;60080;0;1033;798;3694;0,88
66;960;3401,02;113,32;25706,64;65017;0;1077;733;3634;0,87
68;1003;3338,46;111,17;27287,96;70309;0;1122;675;3580;0,66
70;1046;3276,43;109,07;28924,29;75984;0;1167;616;3524;0,49
72;1091;3215,57;107;30615,97;82072;0;1213;558;3467;0,36
74;1135;3155,86;104,97;32363,28;88608;0;1259;499;3410;0,27
